wilayah;X1;X2;X3;X4;X5;X6;X7
1;59.28;48.57;58.71;16.18;6.43;20.38;24
2;52.09;70.95;79.54;11.53;6.91;24.34;31
3;50.3;58.72;51.5;13.1;6.87;19.28;22
4;50.59;71.65;66.65;8.75;7.45;19.83;31
5;46.39;61.63;68.39;10.22;6.82;21.35;24
6;49.59;67.84;66.82;12.77;7.41;25.02;37
7;52.15;61.23;81.21;11.07;6.66;27.43;39
8;34.38;46.09;67.41;11.75;6.03;34.12;25
9;42.26;47.06;72.95;11.28;5.63;50.73;49
10;50.97;58.07;72.12;9.29;6.87;31.35;45
11;50.75;20.11;56.45;14.76;5.52;48.57;25
12;59.68;43.29;46.43;13.15;5.54;49.48;17
13;53.39;31.38;65.44;20.44;5.64;57.20;33
14;52.81;48.98;59.63;10.86;6.36;46.00;33
15;53.85;89.07;91.61;6.4;10.09;21.85;26
16;56;78.29;76.55;10.56;7.74;23.00;27
17;46.81;76.56;76.29;10.8;7.52;24.82;34
18;52.08;69.82;77.73;13.14;7.31;28.02;20
19;57.02;72.97;74.54;12.04;6.89;28.08;26
20;59.6;80.57;89.75;11.8;7.55;20.58;22
21;46.52;59.68;79.83;14.88;6.52;24.37;24
22;54.19;56.73;77.82;15.48;6.14;34.82;36
23;42;66.29;76.72;16.64;6.18;30.99;33
24;65.08;82.32;79.58;15.68;7.27;30.37;33
25;64.89;90.79;89.23;13.41;8.42;20.95;32
26;36.26;35.27;61.8;22.38;5.07;49.14;22
27;60.61;45.17;72.27;25.8;3.49;49.06;21
28;54.47;46.37;90.1;17.74;5.72;45.66;20
29;33.93;29.87;68.63;20.49;4.77;43.61;30
30;39.16;91.69;53.45;7.95;9.70;22.38;9
31;48.97;94.57;62.19;7.15;9.81;17.56;3
32;45.74;83.82;88.48;4.8;9.97;22.28;15
33;56.17;71.27;84.19;8.37;8.44;22.63;6
34;59.42;67.64;84.21;7.34;9.06;35.53;8
35;57.34;84.69;81.32;6.42;9.91;19.71;5
36;54.72;97.75;90.1;4.86;10.90;20.93;6
37;49.25;92.42;98.74;5.79;10.07;20.88;62
38;55.65;93.55;98.86;4.59;8.41;26.00;5
