wilayah;X1;X2;X3;X4;X5;X6;X7
1;59.34;48.54;60.53;16.68;6.88;20.11;24
2;60.98;63.76;75.36;11.91;6.96;23.48;31
3;59.84;60.59;51.09;13.39;7.18;18.91;22
4;52.3;74.01;74.87;8.57;7.72;19.45;31
5;61.48;59.6;74.4;9.97;7.24;21.02;24
6;54.08;68.1;68.63;12.91;7.41;24.39;37
7;60.48;56.06;75.41;11.53;6.73;26.78;39
8;49.66;48.94;64.89;11.52;6.04;33.56;25
9;55.37;45.55;68.96;11.22;5.76;50.38;49
10;55.92;66.81;70.43;9.17;6.88;29.60;45
11;61.22;19.94;63.44;14.96;5.53;47.52;25
12;61.73;38.47;54.94;13.63;5.67;48.92;17
13;57.44;29.9;66.96;20.82;5.66;56.77;33
14;67.22;46.25;67.46;10.72;6.50;45.22;33
15;66.7;88.85;94.19;6.44;10.10;21.24;26
16;58.33;77.46;74.99;10.57;7.75;21.81;27
17;60.33;79.07;77.41;10.79;7.59;24.59;34
18;56.03;72.66;72.94;12.69;7.33;27.69;20
19;64.71;68.2;83.64;12.54;6.99;27.86;26
20;58.09;80.29;95.11;11.35;7.65;20.26;22
21;53.27;64.92;80.65;15.61;6.53;23.48;24
22;52.77;68.47;80.85;15.71;6.64;34.77;36
23;57.74;60.22;83.03;17.08;6.20;29.87;33
24;62.96;85.74;81.03;15.38;7.28;30.22;33
25;67.23;90.67;90.38;13.63;8.93;20.59;32
26;46.37;36.61;63.69;22.57;5.08;48.81;22
27;62.07;49.26;79.08;25.69;3.65;47.02;21
28;48.05;34.22;79.72;17.41;5.73;44.54;20
29;49.54;29.75;75.26;20.2;4.89;43.17;30
30;49.93;89.79;56.48;8.51;9.88;21.18;9
31;57.05;95.62;64.24;7.29;9.87;17.01;3
32;51.28;79.26;89.75;4.6;10.13;20.76;15
33;66.83;81.37;83.96;8.17;8.46;21.03;6
34;61.73;78.81;88.49;7.47;9.07;34.89;8
35;58.95;87.56;77.73;6.16;9.92;19.44;5
36;47.02;96.11;95.13;4.89;11.08;20.56;6
37;57.85;90.61;97.21;5.82;10.24;20.44;62
38;53.85;81.93;85.36;4.71;8.44;25.37;5
